id,title,body,category,urgency,html_url,cleaned_title,cleaned_body,text_for_classification
46,两步验证设置不成功...,两步验证设置不成功,账号问题,中,https://example.com/issues/46,两步验证设置不成功...,两步验证设置不成功,两步验证设置不成功
32,能否支持离线使用...,能否支持离线使用,功能建议,高,https://example.com/issues/32,能否支持离线使用...,能否支持离线使用,能否支持离线使用
71,CDN加速不稳定...,CDN加速不稳定,网络连接失败,低,https://example.com/issues/71,CDN加速不稳定...,CDN加速不稳定,CDN加速不稳定
43,账号被锁定，不知道原因...,账号被锁定，不知道原因,账号问题,中,https://example.com/issues/43,账号被锁定，不知道原因...,账号被锁定，不知道原因,账号被锁定，不知道原因
13,刷新页面后数据丢失...,刷新页面后数据丢失,Bug反馈,高,https://example.com/issues/13,刷新页面后数据丢失...,刷新页面后数据丢失,刷新页面后数据丢失
16,验证码显示不正常...,验证码显示不正常,Bug反馈,中,https://example.com/issues/16,验证码显示不正常...,验证码显示不正常,验证码显示不正常
115,缓存机制不生效...,缓存机制不生效,性能问题,低,https://example.com/issues/115,缓存机制不生效...,缓存机制不生效,缓存机制不生效
77,IPv6连接有问题...,IPv6连接有问题,网络连接失败,中,https://example.com/issues/77,IPv6连接有问题...,IPv6连接有问题,IPv6连接有问题
98,代码高亮显示异常...,代码高亮显示异常,文档问题,高,https://example.com/issues/98,代码高亮显示异常...,代码高亮显示异常,代码高亮显示异常
25,建议增加夜间模式...,建议增加夜间模式,功能建议,高,https://example.com/issues/25,建议增加夜间模式...,建议增加夜间模式,建议增加夜间模式
79,网络带宽不足，加载慢...,网络带宽不足，加载慢,网络连接失败,高,https://example.com/issues/79,网络带宽不足，加载慢...,网络带宽不足，加载慢,网络带宽不足，加载慢
23,能否支持多语言切换...,能否支持多语言切换,功能建议,中,https://example.com/issues/23,能否支持多语言切换...,能否支持多语言切换,能否支持多语言切换
97,文档格式混乱...,文档格式混乱,文档问题,低,https://example.com/issues/97,文档格式混乱...,文档格式混乱,文档格式混乱
57,会话超时时间太短...,会话超时时间太短,账号问题,中,https://example.com/issues/57,会话超时时间太短...,会话超时时间太短,会话超时时间太短
111,图片加载速度慢...,图片加载速度慢,性能问题,中,https://example.com/issues/111,图片加载速度慢...,图片加载速度慢,图片加载速度慢
31,建议添加消息提醒功能...,建议添加消息提醒功能,功能建议,高,https://example.com/issues/31,建议添加消息提醒功能...,建议添加消息提醒功能,建议添加消息提醒功能
54,绑定手机号码失败...,绑定手机号码失败,账号问题,低,https://example.com/issues/54,绑定手机号码失败...,绑定手机号码失败,绑定手机号码失败
119,网页打开速度慢...,网页打开速度慢,性能问题,低,https://example.com/issues/119,网页打开速度慢...,网页打开速度慢,网页打开速度慢
10,图片无法加载，显示错误图标...,图片无法加载，显示错误图标,Bug反馈,低,https://example.com/issues/10,图片无法加载，显示错误图标...,图片无法加载，显示错误图标,图片无法加载，显示错误图标
34,建议添加协作功能...,建议添加协作功能,功能建议,低,https://example.com/issues/34,建议添加协作功能...,建议添加协作功能,建议添加协作功能
26,能否添加快捷键支持...,能否添加快捷键支持,功能建议,低,https://example.com/issues/26,能否添加快捷键支持...,能否添加快捷键支持,能否添加快捷键支持
70,WebSocket连接异常...,WebSocket连接异常,网络连接失败,中,https://example.com/issues/70,WebSocket连接异常...,WebSocket连接异常,WebSocket连接异常
29,能否支持拖拽上传文件...,能否支持拖拽上传文件,功能建议,高,https://example.com/issues/29,能否支持拖拽上传文件...,能否支持拖拽上传文件,能否支持拖拽上传文件
99,下载的文档文件损坏...,下载的文档文件损坏,文档问题,高,https://example.com/issues/99,下载的文档文件损坏...,下载的文档文件损坏,下载的文档文件损坏
86,文档中的链接失效...,文档中的链接失效,文档问题,高,https://example.com/issues/86,文档中的链接失效...,文档中的链接失效,文档中的链接失效
6,界面显示异常，文字重叠...,界面显示异常，文字重叠,Bug反馈,高,https://example.com/issues/6,界面显示异常，文字重叠...,界面显示异常，文字重叠,界面显示异常，文字重叠
91,更新日志不及时...,更新日志不及时,文档问题,低,https://example.com/issues/91,更新日志不及时...,更新日志不及时,更新日志不及时
69,跨域请求被阻止...,跨域请求被阻止,网络连接失败,低,https://example.com/issues/69,跨域请求被阻止...,跨域请求被阻止,跨域请求被阻止
40,建议增加用户权限管理...,建议增加用户权限管理,功能建议,低,https://example.com/issues/40,建议增加用户权限管理...,建议增加用户权限管理,建议增加用户权限管理
50,修改密码后仍用旧密码可以登录...,修改密码后仍用旧密码可以登录,账号问题,高,https://example.com/issues/50,修改密码后仍用旧密码可以登录...,修改密码后仍用旧密码可以登录,修改密码后仍用旧密码可以登录
36,希望有更多的模板选择...,希望有更多的模板选择,功能建议,高,https://example.com/issues/36,希望有更多的模板选择...,希望有更多的模板选择,希望有更多的模板选择
17,密码重置功能不起作用...,密码重置功能不起作用,Bug反馈,中,https://example.com/issues/17,密码重置功能不起作用...,密码重置功能不起作用,密码重置功能不起作用
67,同步数据失败，连接错误...,同步数据失败，连接错误,网络连接失败,中,https://example.com/issues/67,同步数据失败，连接错误...,同步数据失败，连接错误,同步数据失败，连接错误
35,能否支持移动端访问...,能否支持移动端访问,功能建议,高,https://example.com/issues/35,能否支持移动端访问...,能否支持移动端访问,能否支持移动端访问
114,并发访问时性能下降...,并发访问时性能下降,性能问题,高,https://example.com/issues/114,并发访问时性能下降...,并发访问时性能下降,并发访问时性能下降
8,删除操作失败，数据还在...,删除操作失败，数据还在,Bug反馈,低,https://example.com/issues/8,删除操作失败，数据还在...,删除操作失败，数据还在,删除操作失败，数据还在
44,注册时提示邮箱已存在...,注册时提示邮箱已存在,账号问题,中,https://example.com/issues/44,注册时提示邮箱已存在...,注册时提示邮箱已存在,注册时提示邮箱已存在
73,SSL证书验证失败...,SSL证书验证失败,网络连接失败,中,https://example.com/issues/73,SSL证书验证失败...,SSL证书验证失败,SSL证书验证失败
68,代理设置不生效...,代理设置不生效,网络连接失败,中,https://example.com/issues/68,代理设置不生效...,代理设置不生效,代理设置不生效
84,文档版本太旧，与实际不符...,文档版本太旧，与实际不符,文档问题,高,https://example.com/issues/84,文档版本太旧，与实际不符...,文档版本太旧，与实际不符,文档版本太旧，与实际不符
28,建议增加数据备份功能...,建议增加数据备份功能,功能建议,中,https://example.com/issues/28,建议增加数据备份功能...,建议增加数据备份功能,建议增加数据备份功能
20,权限设置无效，仍可访问限制内容...,权限设置无效，仍可访问限制内容,Bug反馈,低,https://example.com/issues/20,权限设置无效，仍可访问限制内容...,权限设置无效，仍可访问限制内容,权限设置无效，仍可访问限制内容
96,缺少视频教程...,缺少视频教程,文档问题,高,https://example.com/issues/96,缺少视频教程...,缺少视频教程,缺少视频教程
101,系统运行缓慢，响应时间长...,系统运行缓慢，响应时间长,性能问题,低,https://example.com/issues/101,系统运行缓慢，响应时间长...,系统运行缓慢，响应时间长,系统运行缓慢，响应时间长
9,表单提交后出现500错误...,表单提交后出现500错误,Bug反馈,高,https://example.com/issues/9,表单提交后出现500错误...,表单提交后出现500错误,表单提交后出现500错误
14,系统自动退出，需要重新登录...,系统自动退出，需要重新登录,Bug反馈,中,https://example.com/issues/14,系统自动退出，需要重新登录...,系统自动退出，需要重新登录,系统自动退出，需要重新登录
85,缺少重要功能的说明...,缺少重要功能的说明,文档问题,高,https://example.com/issues/85,缺少重要功能的说明...,缺少重要功能的说明,缺少重要功能的说明
4,上传文件失败，出现错误提示...,上传文件失败，出现错误提示,Bug反馈,中,https://example.com/issues/4,上传文件失败，出现错误提示...,上传文件失败，出现错误提示,上传文件失败，出现错误提示
18,邮件发送失败，收不到通知...,邮件发送失败，收不到通知,Bug反馈,低,https://example.com/issues/18,邮件发送失败，收不到通知...,邮件发送失败，收不到通知,邮件发送失败，收不到通知
39,希望支持更多文件格式...,希望支持更多文件格式,功能建议,低,https://example.com/issues/39,希望支持更多文件格式...,希望支持更多文件格式,希望支持更多文件格式
118,移动端性能差...,移动端性能差,性能问题,中,https://example.com/issues/118,移动端性能差...,移动端性能差,移动端性能差
7,搜索功能不工作，无法找到结果...,搜索功能不工作，无法找到结果,Bug反馈,高,https://example.com/issues/7,搜索功能不工作，无法找到结果...,搜索功能不工作，无法找到结果,搜索功能不工作，无法找到结果
78,负载均衡器响应异常...,负载均衡器响应异常,网络连接失败,低,https://example.com/issues/78,负载均衡器响应异常...,负载均衡器响应异常,负载均衡器响应异常
112,动画效果不流畅...,动画效果不流畅,性能问题,高,https://example.com/issues/112,动画效果不流畅...,动画效果不流畅,动画效果不流畅
95,文档搜索功能不好用...,文档搜索功能不好用,文档问题,高,https://example.com/issues/95,文档搜索功能不好用...,文档搜索功能不好用,文档搜索功能不好用
55,账号合并功能有问题...,账号合并功能有问题,账号问题,高,https://example.com/issues/55,账号合并功能有问题...,账号合并功能有问题,账号合并功能有问题
51,邮箱验证链接失效...,邮箱验证链接失效,账号问题,中,https://example.com/issues/51,邮箱验证链接失效...,邮箱验证链接失效,邮箱验证链接失效
81,API文档信息不完整...,API文档信息不完整,文档问题,低,https://example.com/issues/81,API文档信息不完整...,API文档信息不完整,API文档信息不完整
47,账号权限不够，无法访问某些功能...,账号权限不够，无法访问某些功能,账号问题,高,https://example.com/issues/47,账号权限不够，无法访问某些功能...,账号权限不够，无法访问某些功能,账号权限不够，无法访问某些功能
82,使用教程步骤不清楚...,使用教程步骤不清楚,文档问题,高,https://example.com/issues/82,使用教程步骤不清楚...,使用教程步骤不清楚,使用教程步骤不清楚
62,网络连接不稳定，经常断线...,网络连接不稳定，经常断线,网络连接失败,高,https://example.com/issues/62,网络连接不稳定，经常断线...,网络连接不稳定，经常断线,网络连接不稳定，经常断线
117,报表生成时间太长...,报表生成时间太长,性能问题,低,https://example.com/issues/117,报表生成时间太长...,报表生成时间太长,报表生成时间太长
80,VPN环境下连接失败...,VPN环境下连接失败,网络连接失败,高,https://example.com/issues/80,VPN环境下连接失败...,VPN环境下连接失败,VPN环境下连接失败
94,错误代码含义不明确...,错误代码含义不明确,文档问题,高,https://example.com/issues/94,错误代码含义不明确...,错误代码含义不明确,错误代码含义不明确
42,忘记密码，重置邮件收不到...,忘记密码，重置邮件收不到,账号问题,低,https://example.com/issues/42,忘记密码，重置邮件收不到...,忘记密码，重置邮件收不到,忘记密码，重置邮件收不到
59,账号注销申请处理太慢...,账号注销申请处理太慢,账号问题,高,https://example.com/issues/59,账号注销申请处理太慢...,账号注销申请处理太慢,账号注销申请处理太慢
49,注销功能不工作，无法退出...,注销功能不工作，无法退出,账号问题,低,https://example.com/issues/49,注销功能不工作，无法退出...,注销功能不工作，无法退出,注销功能不工作，无法退出
102,大量数据加载时卡顿...,大量数据加载时卡顿,性能问题,高,https://example.com/issues/102,大量数据加载时卡顿...,大量数据加载时卡顿,大量数据加载时卡顿
58,多设备登录冲突...,多设备登录冲突,账号问题,中,https://example.com/issues/58,多设备登录冲突...,多设备登录冲突,多设备登录冲突
76,移动网络下无法访问...,移动网络下无法访问,网络连接失败,高,https://example.com/issues/76,移动网络下无法访问...,移动网络下无法访问,移动网络下无法访问
33,希望增加数据统计图表...,希望增加数据统计图表,功能建议,中,https://example.com/issues/33,希望增加数据统计图表...,希望增加数据统计图表,希望增加数据统计图表
113,大文件处理效率低...,大文件处理效率低,性能问题,中,https://example.com/issues/113,大文件处理效率低...,大文件处理效率低,大文件处理效率低
60,实名认证审核失败...,实名认证审核失败,账号问题,高,https://example.com/issues/60,实名认证审核失败...,实名认证审核失败,实名认证审核失败
64,API请求响应时间过长...,API请求响应时间过长,网络连接失败,中,https://example.com/issues/64,API请求响应时间过长...,API请求响应时间过长,API请求响应时间过长
106,文件上传速度很慢...,文件上传速度很慢,性能问题,低,https://example.com/issues/106,文件上传速度很慢...,文件上传速度很慢,文件上传速度很慢
38,能否添加评论功能...,能否添加评论功能,功能建议,低,https://example.com/issues/38,能否添加评论功能...,能否添加评论功能,能否添加评论功能
30,希望有更详细的使用教程...,希望有更详细的使用教程,功能建议,高,https://example.com/issues/30,希望有更详细的使用教程...,希望有更详细的使用教程,希望有更详细的使用教程
116,数据同步速度慢...,数据同步速度慢,性能问题,中,https://example.com/issues/116,数据同步速度慢...,数据同步速度慢,数据同步速度慢
2,点击按钮没有反应，页面卡死...,点击按钮没有反应，页面卡死,Bug反馈,高,https://example.com/issues/2,点击按钮没有反应，页面卡死...,点击按钮没有反应，页面卡死,点击按钮没有反应，页面卡死
53,头像上传不成功...,头像上传不成功,账号问题,高,https://example.com/issues/53,头像上传不成功...,头像上传不成功,头像上传不成功
22,建议添加批量操作功能...,建议添加批量操作功能,功能建议,中,https://example.com/issues/22,建议添加批量操作功能...,建议添加批量操作功能,建议添加批量操作功能
3,登录后页面显示空白...,登录后页面显示空白,Bug反馈,低,https://example.com/issues/3,登录后页面显示空白...,登录后页面显示空白,登录后页面显示空白
24,希望有数据导出到Excel的功能...,希望有数据导出到Excel的功能,功能建议,低,https://example.com/issues/24,希望有数据导出到Excel的功能...,希望有数据导出到Excel的功能,希望有数据导出到Excel的功能
104,CPU使用率异常，风扇狂转...,CPU使用率异常，风扇狂转,性能问题,中,https://example.com/issues/104,CPU使用率异常，风扇狂转...,CPU使用率异常，风扇狂转,CPU使用率异常，风扇狂转
100,多语言文档不同步...,多语言文档不同步,文档问题,高,https://example.com/issues/100,多语言文档不同步...,多语言文档不同步,多语言文档不同步
88,图片显示不清楚...,图片显示不清楚,文档问题,低,https://example.com/issues/88,图片显示不清楚...,图片显示不清楚,图片显示不清楚
109,搜索结果返回太慢...,搜索结果返回太慢,性能问题,高,https://example.com/issues/109,搜索结果返回太慢...,搜索结果返回太慢,搜索结果返回太慢
75,网络延迟太高，影响使用...,网络延迟太高，影响使用,网络连接失败,高,https://example.com/issues/75,网络延迟太高，影响使用...,网络延迟太高，影响使用,网络延迟太高，影响使用
87,翻译质量差，理解困难...,翻译质量差，理解困难,文档问题,低,https://example.com/issues/87,翻译质量差，理解困难...,翻译质量差，理解困难,翻译质量差，理解困难
83,示例代码有错误，无法运行...,示例代码有错误，无法运行,文档问题,高,https://example.com/issues/83,示例代码有错误，无法运行...,示例代码有错误，无法运行,示例代码有错误，无法运行
120,系统在高峰期很卡...,系统在高峰期很卡,性能问题,高,https://example.com/issues/120,系统在高峰期很卡...,系统在高峰期很卡,系统在高峰期很卡
21,希望能增加搜索过滤功能...,希望能增加搜索过滤功能,功能建议,中,https://example.com/issues/21,希望能增加搜索过滤功能...,希望能增加搜索过滤功能,希望能增加搜索过滤功能
61,页面加载超时，请求失败...,页面加载超时，请求失败,网络连接失败,低,https://example.com/issues/61,页面加载超时，请求失败...,页面加载超时，请求失败,页面加载超时，请求失败
72,DNS解析失败...,DNS解析失败,网络连接失败,中,https://example.com/issues/72,DNS解析失败...,DNS解析失败,DNS解析失败
107,页面渲染延迟严重...,页面渲染延迟严重,性能问题,低,https://example.com/issues/107,页面渲染延迟严重...,页面渲染延迟严重,页面渲染延迟严重
15,菜单点击无效，无法打开...,菜单点击无效，无法打开,Bug反馈,中,https://example.com/issues/15,菜单点击无效，无法打开...,菜单点击无效，无法打开,菜单点击无效，无法打开
93,配置说明不详细...,配置说明不详细,文档问题,中,https://example.com/issues/93,配置说明不详细...,配置说明不详细,配置说明不详细
52,用户名修改失败...,用户名修改失败,账号问题,低,https://example.com/issues/52,用户名修改失败...,用户名修改失败,用户名修改失败
103,内存占用过高，系统变慢...,内存占用过高，系统变慢,性能问题,高,https://example.com/issues/103,内存占用过高，系统变慢...,内存占用过高，系统变慢,内存占用过高，系统变慢
